#,Company,Symbol,Weight,Price,Change
1,Apple Inc.,AAPL,3.98817,192.8,-11.67
2,Microsoft Corporation,MSFT,3.571632,106.48,-3.09
3,Amazon.com Inc.,AMZN,2.982324,1623.0,-89.43
4,Berkshire Hathaway Inc. Class B,BRK.B,1.82004,215.19,-4.44
5,Johnson & Johnson,JNJ,1.657474,145.95,0.61
6,JPMorgan Chase & Co.,JPM,1.589967,108.75,-2.54
7,Facebook Inc. Class A,FB,1.486104,140.92,-4.04
8,Exxon Mobil Corporation,XOM,1.455456,79.83,-1.04
9,Alphabet Inc. Class C,GOOG,1.395408,1034.98,-31.17
10,Alphabet Inc. Class A,GOOGL,1.368553,1045.0,-32.02
11,UnitedHealth Group Incorporated,UNH,1.131482,272.85,-3.7
12,Bank of America Corp,BAC,1.126164,27.7,-0.82
13,Pfizer Inc.,PFE,1.103423,44.0,-0.28
14,Visa Inc. Class A,V,1.08702,139.5,-4.43
15,Verizon Communications Inc.,VZ,1.026816,58.65,0.19
16,Procter & Gamble Company,PG,0.9778,92.7,0.29
17,Wells Fargo & Company,WFC,0.977291,52.32,-0.72
18,Chevron Corporation,CVX,0.973446,117.3,-2.21
19,AT&T Inc.,T,0.9474,30.79,0.1
20,Intel Corporation,INTC,0.942997,46.56,-1.55
21,Cisco Systems Inc.,CSCO,0.915454,45.75,-1.36
22,Home Depot Inc.,HD,0.904581,179.1,-6.89
23,Merck & Co. Inc.,MRK,0.846319,74.96,0.1
24,Boeing Company,BA,0.838862,356.12,-13.22
25,Coca-Cola Company,KO,0.808334,50.0,0.32
26,Mastercard Incorporated Class A,MA,0.797031,198.9,-6.72
27,Comcast Corporation Class A,CMCSA,0.746106,38.0,-0.34
28,Walt Disney Company,DIS,0.746009,116.5,-1.5
29,PepsiCo Inc.,PEP,0.706299,116.75,-0.73
30,Citigroup Inc.,C,0.703489,63.63,-2.13
31,Walmart Inc.,WMT,0.643956,103.75,-1.81
32,McDonald's Corporation,MCD,0.613206,184.35,-1.59
33,Oracle Corporation,ORCL,0.609222,49.22,-1.39
34,Philip Morris International Inc.,PM,0.589302,87.97,-1.21
35,DowDuPont Inc.,DWDP,0.57556,57.82,-0.86
36,AbbVie Inc.,ABBV,0.571539,89.38,0.59
37,Netflix Inc.,NFLX,0.561736,292.0,-11.47
38,Abbott Laboratories,ABT,0.542826,70.96,-1.83
39,Medtronic plc,MDT,0.541712,92.64,-1.72
40,NVIDIA Corporation,NVDA,0.53157,190.01,-15.66
41,Amgen Inc.,AMGN,0.531465,192.0,-1.16
42,Adobe Inc.,ADBE,0.509631,237.0,-7.84
43,Altria Group Inc,MO,0.508627,61.5,-1.92
44,3M Company,MMM,0.501889,196.9,-4.2
45,International Business Machines Corporation,IBM,0.479346,120.6,-2.94
46,Honeywell International Inc.,HON,0.474528,148.1,-2.22
